dbn,school_name,beds,location_name,ncessch,combokey
27Q104,P.S. 104 The Bays Water,342700010104,P.S. 104 The Bays Water,360012302392,362058002392
27Q105,P.S. 105 The Bay School,342700010105,P.S. 105 The Bay School,360012302395,362058002395
27Q106,P.S. 106,342700010106,P.S. 106,360012302398,362058002398
27Q108,P.S. 108 Captain Vincent G. Fowler,342700010108,P.S. 108 Captain Vincent G. Fowler,360012302405,362058002405
27Q114,P.S. / M.S. 114 Belle Harbor,342700010114,P.S. / M.S. 114 Belle Harbor,360012302426,362058002426
27Q123,P.S. 123,342700010123,P.S. 123,360012302454,362058002454
27Q124,P.S. 124 Osmond A Church,342700010124,P.S. 124 Osmond A Church,360012302460,362058002460
27Q137,M.S. 137 America's School of Heroes,342700010137,M.S. 137 America's School of Heroes,360012305269,362058005269
27Q146,P.S. 146 Howard Beach,342700010146,P.S. 146 Howard Beach,360012302531,362058002531
27Q155,P.S. 155,342700010155,P.S. 155,360012302558,362058002558
27Q183,P.S. 183 Dr. Richard R. Green,342700010183,P.S. 183 Dr. Richard R. Green,360012302634,362058002634
27Q197,P.S. 197 The Ocean School,342700010197,P.S. 197 The Ocean School,360012302671,362058002671
27Q202,J.H.S. 202 Robert H. Goddard,342700010202,J.H.S. 202 Robert H. Goddard,360012302685,362058002685
27Q207,P.S. 207 Rockwood Park,342700010207,P.S. 207 Rockwood Park,360012302699,362058002699
27Q210,J.H.S. 210 Elizabeth Blackwell,342700010210,J.H.S. 210 Elizabeth Blackwell,360012302704,362058002704
27Q215,P.S. 215 Lucretia Mott,342700010215,P.S. 215 Lucretia Mott,360012302714,362058002714
27Q223,P.S. 223 Lyndon B. Johnson,342700010223,P.S. 223 Lyndon B. Johnson,360012302728,362058002728
27Q226,J.H.S. 226 Virgil I. Grissom,342700010226,J.H.S. 226 Virgil I. Grissom,360012301995,362058001995
27Q232,P.S. 232 Lindenwood,342700010232,P.S. 232 Lindenwood,360012302743,362058002743
27Q253,P.S. 253,342700010253,P.S. 253,360012305728,362058005728
27Q254,P.S. 254 - The Rosa Parks School,342700010254,P.S. 254 - The Rosa Parks School,360012305729,362058005729
27Q260,Frederick Douglass Academy VI High School,342700011260,Frederick Douglass Academy VI High School,360012305730,362058005730
27Q261,Voyages Prep - South Queens,342700011261,Voyages Prep - South Queens,360012306437,362058099826
